Type;Class;Variable1;Frequency;Frequency_Difference;
U;0;(Railway, False);0.367;;
U;0;(Traffic_Calming, False);0.366;;
U;0;(Amenity, False);0.365;;
U;0;(Stop, False);0.362;;
U;0;(Station, False);0.362;;
U;0;(Crossing, False);0.337;;
U;0;(Traffic_Signal, False);0.312;;
U;0;(Junction, False);0.305;;
U;0;(Junction, True);0.063;;
U;0;(Traffic_Signal, True);0.056;;
U;0;(Crossing, True);0.030;;
U;0;(Station, True);0.006;;
U;0;(Stop, True);0.006;;
U;0;(Amenity, True);0.003;;
U;0;(Traffic_Calming, True);0.002;;
U;0;(Railway, True);0.001;;
U;0;(Weather_Condition, 'Light Freezing Fog');0.000;;
U;0;(Weather_Condition, 'Light Snow and Sleet');0.000;;
U;0;(Weather_Condition, Hail);0.000;;
U;0;(Weather_Condition, 'Heavy Sleet');0.000;;
U;0;(Weather_Condition, 'Freezing Rain');0.000;;
U;0;(Weather_Condition, 'Snow Grains');0.000;;
U;0;(Visibility(mi), '\'(10.25-inf)\'');0.000;;
U;0;(Weather_Condition, 'Showers in the Vicinity');0.000;;
D;1;(Distance(mi), Distance(mi));0.000;8.882;
D;1;(Street, Street);0.000;8.882;
D;1;(Temperature(F), Temperature(F));0.000;8.882;
D;1;(Humidity(%), Humidity(%));0.000;8.882;
D;1;(Pressure(in), Pressure(in));0.000;8.882;
D;1;(Visibility(mi), Visibility(mi));0.000;8.882;
D;1;(Wind_Direction, Wind_Direction);0.000;8.882;
D;1;(Weather_Condition, Weather_Condition);0.000;8.882;
D;1;(Amenity, Amenity);0.000;8.882;
D;1;(Crossing, Crossing);0.000;8.882;
D;1;(Junction, Junction);0.000;8.882;
D;1;(Railway, Railway);0.000;8.882;
D;1;(Station, Station);0.000;8.882;
D;1;(Stop, Stop);0.000;8.882;
D;1;(Traffic_Calming, Traffic_Calming);0.000;8.882;
D;1;(Traffic_Signal, Traffic_Signal);0.000;8.882;
D;1;(Sunrise_Sunset, Sunrise_Sunset);0.000;8.882;
D;0;(Distance(mi), '\'(-inf-0.0135]\'');0.419;8.296;
