Type;Class;Variable1;Frequency;Frequency_Difference;
U;1;(Class, 1);1.0000;;
U;0;(Class, 0);1.0000;;
U;0;(Weather_Condition, 'Light Freezing Fog');0.0002;;
U;0;(Weather_Condition, 'Light Snow and Sleet');0.0002;;
U;0;(Weather_Condition, 'Heavy Sleet');0.0002;;
U;0;(Visibility(mi), '\'(15-inf)\'');0.0002;;
