Type,Class,Variable1,Variable2,Frequency
D,0,"(Distance(mi), '\'(-inf-0.0135]\'')","(Street, Interstate)",0.168
D,0,"(Distance(mi), '\'(-inf-0.0135]\'')","(Junction, True)",0.119
