Distance(mi),Amenity,No_Exit,Station,Sunrise_Sunset,Season,Snow_Ice,Low_Vis_Weather,Rainy,Qty_Slowing_Elements
0.909,0,0,0,1,Fall,0,0,0,0
0.287,0,0,0,0,Fall,0,0,0,0
1.429,0,0,0,1,Fall,0,1,0,0
0.09,0,0,0,1,Winter,1,0,1,1
0.0,0,0,0,1,Fall,0,0,1,0
0.146,0,0,0,1,Spring,0,1,0,0
1.9099999666213991,0,0,0,1,Winter,0,0,0,0
2.357,0,0,0,0,Fall,0,0,0,0
0.04,0,0,0,0,Fall,0,0,1,1
0.0,0,0,0,0,Winter,0,1,0,2
0.34,0,0,0,1,Winter,1,0,0,0
1.75,0,0,0,0,Winter,0,0,0,0
0.069,0,0,0,0,Winter,0,1,0,2
2.357,0,0,0,1,Winter,0,0,0,0
0.54,0,0,0,1,Spring,0,1,0,0
0.01,0,0,0,0,Winter,0,0,0,0
0.0,0,0,0,0,Spring,0,0,0,1
0.0,0,0,0,1,Summer,0,1,0,1
3.104,0,0,0,1,Winter,0,1,0,0
0.334,0,0,0,1,Winter,0,0,1,1
0.01,0,0,0,1,Fall,0,0,0,0
0.0,0,0,0,0,Fall,0,0,0,0
0.638,0,0,0,0,Winter,0,1,0,0
0.855,0,0,0,1,Winter,0,0,0,1
4.1560000000000015,0,0,0,0,Winter,0,0,0,0
0.12,0,0,0,0,Winter,0,1,0,0
0.913,0,0,0,1,Summer,0,0,0,0
1.245,0,0,0,1,Spring,0,0,0,0
0.01,0,0,0,0,Spring,0,1,0,1
0.01,0,0,0,1,Fall,0,0,0,2
0.47,0,0,0,1,Summer,0,0,0,0
0.306,0,0,0,0,Winter,1,0,1,0
2.04,0,0,0,0,Spring,0,0,0,0
0.0,0,0,0,1,Fall,0,0,0,1
0.0,1,0,0,1,Fall,0,1,0,2
0.802,0,0,0,0,Fall,0,0,0,1
0.098,0,0,0,1,Fall,0,0,0,0
0.929,0,0,0,1,Fall,0,0,0,0
0.0,0,0,0,1,Summer,0,1,0,0
0.0,0,0,0,1,Summer,0,1,0,0
0.72,0,0,0,0,Winter,0,1,0,1
0.0,0,0,0,0,Fall,0,0,0,0
0.597,0,0,0,1,Spring,0,0,1,0
0.02,0,0,0,0,Fall,0,0,0,0
0.0,0,0,0,1,Spring,0,0,0,0
0.892,0,0,0,0,Fall,0,0,0,0
0.22,0,0,0,1,Winter,0,0,0,0
0.526,0,0,0,1,Fall,0,0,0,0
0.0,0,0,0,1,Spring,0,1,0,0
0.682,0,0,0,1,Fall,0,0,0,1
0.0,0,0,0,1,Spring,0,0,0,0
0.0,0,0,0,0,Fall,0,1,0,0
0.0,0,0,0,1,Summer,0,0,0,0
4.508,0,0,0,1,Fall,0,0,0,0
0.049,0,0,0,1,Fall,0,1,0,0
0.079,0,0,0,0,Winter,0,0,0,0
0.0,0,0,0,1,Fall,0,1,0,0
3.104,0,0,0,1,Spring,0,1,0,0
0.219,0,0,0,0,Fall,0,0,0,0
2.489,0,0,0,1,Summer,0,0,0,0
0.424,0,0,0,0,Fall,0,0,0,1
0.0,0,0,0,1,Spring,0,1,0,0
0.111,0,0,0,0,Winter,0,0,0,0
0.027,0,0,0,1,Summer,0,1,0,0
2.783,0,0,0,1,Spring,0,0,0,0
0.0,0,0,0,1,Spring,0,0,0,1
1.0590000000000002,0,0,0,1,Winter,0,0,0,0
1.277,0,0,0,1,Summer,0,0,0,0
0.01,0,0,0,1,Winter,0,0,0,0
0.0,0,0,0,0,Summer,0,1,0,0
1.239,0,0,0,0,Winter,0,0,0,0
3.123,0,0,0,1,Summer,0,1,0,0
0.298,0,0,0,0,Spring,0,0,0,0
0.144,0,0,0,1,Winter,0,0,0,1
0.069,0,0,0,1,Spring,0,0,0,1
0.396,0,0,0,0,Winter,0,0,0,0
0.0,0,0,0,0,Fall,0,0,0,0
1.068,0,0,0,1,Summer,0,1,0,0
0.01,0,0,0,1,Spring,0,1,0,1
0.364,0,0,0,1,Winter,0,0,0,0
0.0,0,0,0,1,Spring,0,0,0,0
0.0,0,0,0,0,Winter,0,0,0,0
0.777,0,0,0,0,Spring,0,0,0,0
1.07,0,0,0,1,Winter,0,1,0,0
3.151,0,0,0,0,Winter,0,0,0,0
0.121,0,0,0,0,Spring,0,0,0,0
0.0,0,0,0,1,Summer,0,0,0,0
0.445,0,0,0,1,Winter,0,0,0,0
0.375,0,0,0,0,Spring,0,0,0,1
0.532,0,0,0,1,Fall,0,0,0,1
3.491,0,0,0,1,Summer,0,0,0,0
0.13,0,0,0,1,Spring,0,1,0,0
2.296,0,0,0,0,Spring,0,0,1,0
0.0,0,0,0,1,Winter,0,0,0,0
0.0,0,0,0,1,Summer,0,0,0,0
0.024,0,0,0,1,Winter,0,0,0,1
3.848,0,0,0,1,Spring,0,0,0,0
0.01,0,0,0,1,Winter,0,0,0,0
0.133,0,0,0,1,Winter,0,0,0,1
0.0,0,0,0,1,Spring,0,0,0,3
0.8109999999999999,0,0,0,1,Summer,0,0,0,0
0.0,0,0,0,1,Spring,0,0,0,2
0.065,0,0,0,1,Spring,0,0,0,0
2.204,0,0,0,0,Spring,0,0,0,0
0.015,0,0,0,0,Spring,0,1,0,0
0.473,0,0,0,1,Winter,0,0,0,0
1.967,0,0,0,0,Winter,0,0,0,0
0.121,0,0,0,1,Spring,0,0,0,0
0.52,0,0,0,0,Fall,0,0,0,0
0.728,0,0,0,0,Spring,0,0,0,0
0.989,0,0,0,0,Winter,0,0,0,0
4.488,0,0,0,1,Spring,0,1,0,0
0.01,0,0,0,1,Fall,0,0,0,1
0.784,0,0,0,1,Fall,0,1,0,2
1.431,0,0,0,1,Fall,0,0,0,1
0.0,0,0,0,1,Summer,0,1,1,0
1.64,0,0,0,1,Winter,0,0,0,0
0.077,0,0,0,0,Winter,0,0,0,0
0.0,0,0,0,0,Spring,0,0,0,1
