Type;Class;Variable1;Frequency;Frequency_Difference
U;0;(Visibility(mi), '\'(9.5-10.25]\'');0.783;;
U;1;(Visibility(mi), '\'(9.5-inf)\'');0.773;;
U;0;(Distance(mi), '\'(-inf-0.0005]\'');0.427;;
U;1;(Distance(mi), '\'(-inf-0.0485]\'');0.370;;
U;1;(Pressure(in), '\'(30.035-inf)\'');0.339;;
U;0;(Pressure(in), '\'(-inf-29.865]\'');0.338;;
U;1;(Pressure(in), '\'(29.795-30.035]\'');0.334;;
U;1;(Distance(mi), '\'(0.0485-0.6475]\'');0.331;;
U;0;(Pressure(in), '\'(30.085-inf)\'');0.331;;
U;0;(Pressure(in), '\'(29.865-30.085]\'');0.331;;
U;1;(Pressure(in), '\'(-inf-29.795]\'');0.326;;
U;1;(Railway, False);0.308;;
U;1;(Traffic_Calming, False);0.307;;
U;1;(Amenity, False);0.306;;
U;1;(Stop, False);0.304;;
U;1;(Station, False);0.304;;
U;1;(Distance(mi), '\'(0.6475-inf)\'');0.299;;
U;0;(Distance(mi), '\'(0.0005-0.3315]\'');0.286;;
U;0;(Distance(mi), '\'(0.3315-inf)\'');0.286;;
U;1;(Crossing, False);0.283;;
U;1;(Junction, False);0.267;;
U;1;(Traffic_Signal, False);0.262;;
U;1;(Temperature(F), '\'(55.1-66.3]\'');0.179;;
U;1;(Humidity(_%), '\'(55.5-69.5]\'');0.178;;
U;1;(Temperature(F), '\'(66.3-76.05]\'');0.176;;
U;0;(Temperature(F), '\'(47.9-58.05]\'');0.172;;
U;0;(Temperature(F), '\'(58.05-68.1]\'');0.172;;
U;1;(Temperature(F), '\'(45.95-55.1]\'');0.172;;
U;0;(Temperature(F), '\'(68.1-77.1]\'');0.170;;
U;0;(Humidity(_%), '\'(45.5-57.5]\'');0.168;;
U;0;(Temperature(F), '\'(-inf-37.1]\'');0.167;;
U;0;(Temperature(F), '\'(37.1-47.9]\'');0.167;;
U;0;(Humidity(_%), '\'(57.5-69.5]\'');0.164;;
U;1;(Temperature(F), '\'(36.15-45.95]\'');0.163;;
U;0;(Humidity(_%), '\'(-inf-45.5]\'');0.161;;
U;1;(Temperature(F), '\'(-inf-36.15]\'');0.158;;
U;1;(Humidity(_%), '\'(43.5-55.5]\'');0.157;;
U;0;(Temperature(F), '\'(77.1-inf)\'');0.151;;
U;1;(Temperature(F), '\'(76.05-inf)\'');0.151;;
U;1;(Humidity(_%), '\'(-inf-43.5]\'');0.145;;
U;1;(Traffic_Signal, True);0.046;;
U;1;(Junction, True);0.041;;
U;1;(Crossing, True);0.026;;
U;1;(Station, True);0.005;;
U;1;(Stop, True);0.004;;
U;1;(Amenity, True);0.003;;
U;1;(Traffic_Calming, True);0.002;;
U;1;(Railway, True);0.001;;
U;1;(Weather_Condition, 'Light Snow and Sleet');0.000;;
U;0;(Visibility(mi), '\'(10.25-inf)\'');0.000;;
U;1;(Weather_Condition, Hail);0.000;;
U;1;(Weather_Condition, 'Freezing Rain');0.000;;
U;1;(Weather_Condition, 'Snow Grains');0.000;;
U;1;(Weather_Condition, 'Showers in the Vicinity');0.000;;
D;0;(Weather_Condition, 'Ice Pellets');0.001;12.201;
