Distance(mi),Street,Temperature(F),'Humidity(\%)',Pressure(in),Visibility(mi),Wind_Direction,Weather_Condition,Amenity,Crossing,Junction,Railway,Station,Stop,Traffic_Calming,Traffic_Signal,Sunrise_Sunset
'\'(-inf-0.0015]\'',local,'\'(57.5-65.5]\'','\'(59.5-72.5]\'','\'(-inf-29.715]\'','\'(9.5-inf)\'',NW,'Mostly Cloudy',False,False,True,False,False,False,False,False,Day
'\'(-inf-0.0015]\'',local,'\'(65.5-71.3]\'','\'(93.5-inf)\'','\'(-inf-29.715]\'','\'(9.5-inf)\'',SW,Fair,False,False,False,False,False,False,False,True,Day
'\'(-inf-0.0015]\'',local,'\'(57.5-65.5]\'','\'(45-59.5]\'','\'(29.715-29.945]\'','\'(9.5-inf)\'',N,Fair,False,True,False,False,False,False,False,True,Day
'\'(-inf-0.0015]\'',Beltway,'\'(57.5-65.5]\'','\'(72.5-82.5]\'','\'(29.945-inf)\'','\'(9.5-inf)\'',NE,'Mostly Cloudy',False,False,True,False,False,False,False,False,Night
'\'(-inf-0.0015]\'',Interstate,'\'(76.5-inf)\'','\'(59.5-72.5]\'','\'(-inf-29.715]\'','\'(9.5-inf)\'',Calm,Fair,False,False,True,False,False,False,False,False,Day
'\'(-inf-0.0015]\'',large_local,'\'(71.3-76.5]\'','\'(-inf-45]\'','\'(29.945-inf)\'','\'(9.5-inf)\'',N,Fair,False,False,True,False,False,False,False,False,Day
'\'(-inf-0.0015]\'',local,'\'(76.5-inf)\'','\'(59.5-72.5]\'','\'(29.945-inf)\'','\'(9.5-inf)\'',SW,Fair,False,True,False,False,False,False,False,True,Day
'\'(-inf-0.0015]\'',Beltway,'\'(-inf-51.5]\'','\'(93.5-inf)\'','\'(29.945-inf)\'','\'(-inf-9.5]\'',SW,Cloudy,False,False,True,False,False,False,False,False,Day
'\'(-inf-0.0015]\'',large_local,'\'(76.5-inf)\'','\'(-inf-45]\'','\'(29.715-29.945]\'','\'(9.5-inf)\'',SW,Fair,True,True,False,False,False,False,False,False,Day
'\'(-inf-0.0015]\'',local,'\'(71.3-76.5]\'','\'(-inf-45]\'','\'(-inf-29.715]\'','\'(9.5-inf)\'',NW,'Partly Cloudy',False,False,False,False,False,False,False,True,Day
'\'(-inf-0.0015]\'',Beltway,'\'(57.5-65.5]\'','\'(45-59.5]\'','\'(29.945-inf)\'','\'(9.5-inf)\'',E,Fair,False,False,True,False,False,False,False,False,Day
'\'(-inf-0.0015]\'',large_local,'\'(65.5-71.3]\'','\'(72.5-82.5]\'','\'(-inf-29.715]\'','\'(9.5-inf)\'',Calm,Fair,False,False,False,False,False,False,False,True,Night
'\'(-inf-0.0015]\'',local,'\'(76.5-inf)\'','\'(-inf-45]\'','\'(29.945-inf)\'','\'(9.5-inf)\'',NW,'Partly Cloudy',False,True,False,False,False,False,False,False,Day
'\'(-inf-0.0015]\'',large_local,'\'(76.5-inf)\'','\'(59.5-72.5]\'','\'(29.715-29.945]\'','\'(9.5-inf)\'',W,'Partly Cloudy',False,False,False,False,False,False,False,False,Day
'\'(-inf-0.0015]\'',local,'\'(65.5-71.3]\'','\'(45-59.5]\'','\'(29.945-inf)\'','\'(9.5-inf)\'',Variable,Fair,False,False,False,False,False,False,False,True,Day
